month,province,temp,wind_speed
6,四川,17.1,2.0
6,天津,25.7,3.3
6,宁夏,22.7,1.8
6,安徽,26.5,3.8
6,山东,23.8,3.3
6,山西,22.7,2.8
6,广东,27.7,2.6
6,广西,27.1,2.2
6,新疆,23.7,3.1
6,江苏,27.0,2.8
6,江西,26.5,2.2
6,河北,22.1,2.4
6,河南,28.7,2.6
6,浙江,25.3,2.9
6,海南,29.7,2.8
6,湖北,27.9,2.2
6,湖南,25.9,2.8
6,澳门,27.8,3.7
6,甘肃,19.7,3.1
6,福建,25.5,2.8
6,西藏,11.0,1.6
6,贵州,22.1,1.9
6,辽宁,20.9,2.6
6,重庆,25.3,1.9
6,陕西,23.5,2.2
6,青海,9.3,2.5
6,香港,28.5,3.9
6,黑龙江,19.1,2.7
7,上海,31.4,3.4
7,云南,21.8,1.9
7,内蒙古,22.2,2.7
7,北京,27.2,2.1
7,台湾,29.8,3.0
7,吉林,23.7,2.3
7,四川,18.3,2.0
7,天津,27.7,2.8
7,宁夏,23.0,1.9
7,安徽,28.8,3.0
7,山东,26.0,2.6
7,山西,23.0,2.3
7,广东,30.0,2.6
7,广西,29.1,2.2
7,新疆,24.1,2.9
7,江苏,29.5,2.3
7,江西,29.4,2.1
7,河北,25.1,2.1
7,河南,27.7,2.3
7,浙江,30.4,3.0
7,海南,29.4,2.2
7,湖北,29.3,2.4
7,湖南,29.0,2.8
7,澳门,29.8,4.1
7,甘肃,20.1,3.1
7,福建,29.2,2.7
7,西藏,11.6,1.6
7,贵州,25.2,2.4
7,辽宁,25.1,2.3
7,重庆,29.2,2.5
7,陕西,23.9,2.3
7,青海,10.9,2.4
7,香港,30.2,3.9
7,黑龙江,23.2,2.4
8,上海,31.2,3.6
8,云南,21.6,1.7
8,内蒙古,19.2,2.7
8,北京,25.7,2.3
8,台湾,29.5,2.7
8,吉林,20.9,2.5
8,四川,20.3,2.1
8,天津,26.4,2.8
8,宁夏,21.1,1.8
8,安徽,29.3,3.2
8,山东,25.8,2.7
8,山西,22.2,2.3
8,广东,29.2,2.4
8,广西,28.7,2.1
8,新疆,22.2,2.6
8,江苏,29.8,2.2
8,江西,29.7,2.3
8,河北,23.8,2.1
8,河南,27.9,2.4
8,浙江,30.6,3.1
8,海南,28.4,1.9
8,湖北,30.0,2.5
8,湖南,30.1,2.9
8,澳门,28.7,3.7
8,甘肃,19.4,3.0
8,福建,29.5,2.6
8,西藏,13.3,1.4
8,贵州,25.6,2.3
8,辽宁,23.3,2.3
8,重庆,31.7,2.9
8,陕西,24.2,2.6
8,青海,12.3,2.2
8,香港,28.6,3.3
8,黑龙江,19.4,2.4
9,上海,24.6,3.8
9,云南,19.8,1.7
9,内蒙古,16.0,3.0
9,北京,22.1,2.1
9,台湾,27.6,3.8
9,吉林,16.7,2.8
9,四川,15.5,1.9
9,天津,23.5,2.7
9,宁夏,18.6,1.7
9,安徽,23.3,3.5
9,山东,22.0,2.6
9,山西,17.9,2.1
9,广东,28.6,2.6
9,广西,27.7,2.0
9,新疆,20.5,2.4
9,江苏,23.0,2.3
9,江西,25.3,2.2
9,河北,20.4,2.1
9,河南,23.7,2.1
9,浙江,25.0,3.5
9,海南,28.0,2.0
9,湖北,25.6,2.1
9,湖南,26.0,2.5
9,澳门,29.3,3.9
9,甘肃,15.8,2.8
9,福建,27.0,3.1
9,西藏,9.9,1.7
9,贵州,21.6,1.7
9,辽宁,19.3,2.5
9,重庆,23.8,2.3
9,陕西,19.4,1.9
9,青海,7.6,2.0
9,香港,29.2,3.7
9,黑龙江,14.6,3.0
10,上海,19.0,3.5
10,云南,17.4,1.8
10,内蒙古,6.6,3.1
10,北京,12.3,2.1
10,台湾,25.0,4.6
10,吉林,6.8,2.7
10,四川,12.2,1.9
10,天津,14.2,2.8
10,宁夏,10.6,1.5
10,安徽,17.0,3.4
10,山东,14.4,2.8
10,山西,10.4,2.2
10,广东,24.4,3.3
10,广西,23.5,2.6
10,新疆,10.6,2.2
10,江苏,16.6,2.2
10,江西,18.5,2.4
10,河北,11.5,2.1
10,河南,15.6,2.3
10,浙江,19.5,3.8
10,海南,25.2,2.7
10,湖北,19.7,2.3
10,湖南,18.8,2.8
10,澳门,25.7,5.5
10,甘肃,8.9,2.5
10,福建,22.3,4.2
10,西藏,6.8,1.8
10,贵州,17.1,2.1
10,辽宁,10.3,2.7
10,重庆,19.0,2.3
10,陕西,12.7,2.0
10,青海,3.3,2.0
10,香港,25.8,5.0
10,黑龙江,4.9,2.9
11,上海,16.4,3.4
11,云南,15.0,2.1
11,内蒙古,1.3,2.6
11,北京,7.3,1.8
11,台湾,24.1,3.7
11,吉林,0.7,2.5
11,四川,9.8,2.0
11,天津,9.1,2.3
11,宁夏,5.0,1.6
11,安徽,13.9,3.2
11,山东,11.1,2.9
11,山西,6.6,2.1
11,广东,21.5,2.5
11,广西,20.9,2.3
11,新疆,4.2,1.9
11,江苏,13.8,2.3
11,江西,15.6,2.0
11,河北,6.7,1.7
11,河南,11.8,2.2
11,浙江,16.8,2.9
11,海南,24.9,2.3
11,湖北,17.4,2.2
11,湖南,16.1,2.6
11,澳门,22.8,4.2
11,甘肃,5.0,2.4
11,福建,19.5,2.8
11,西藏,4.3,1.8
11,贵州,15.2,2.1
11,辽宁,5.8,2.5
11,重庆,15.9,2.3
11,陕西,9.0,2.0
11,青海,-0.4,1.8
11,香港,23.0,4.1
11,黑龙江,-0.8,3.0
12,上海,6.8,3.1
12,云南,10.3,2.2
12,内蒙古,-5.9,1.8
12,北京,-0.5,2.2
12,台湾,17.8,5.0
12,吉林,-5.8,2.1
12,四川,5.2,1.9
12,天津,-1.3,1.4
12,宁夏,0.9,3.3
12,安徽,4.1,2.8
12,山东,1.1,2.8
12,山西,-0.9,1.3
12,广东,12.9,3.2
12,广西,11.8,2.7
12,新疆,-6.3,1.5
12,江苏,3.6,1.9
12,江西,6.0,1.9
12,河北,-0.0,1.5
12,河南,2.7,1.8
12,浙江,7.4,3.3
12,海南,18.3,3.0
12,湖北,9.3,2.0
12,湖南,6.3,2.1
12,澳门,15.3,6.3
12,甘肃,1.9,1.5
12,福建,11.2,3.2
12,西藏,3.8,1.8
12,贵州,5.9,1.8
12,辽宁,-0.5,2.6
12,重庆,7.9,1.8
12,陕西,2.9,1.4
12,青海,-5.8,3.0
12,香港,15.5,4.5
12,黑龙江,-5.4,4.9
