month,province,pressure
8,河南,1006.5
8,浙江,1007.3
8,海南,1005.6
8,湖北,1005.4
8,湖南,1005.7
8,澳门,1006.9
8,甘肃,1007.4
8,福建,1007.6
8,西藏,1002.2
8,贵州,1004.8
8,辽宁,1007.1
8,重庆,1004.0
8,陕西,1006.5
8,青海,1004.9
8,香港,1006.8
8,黑龙江,1005.2
9,上海,1012.1
9,云南,1009.2
9,内蒙古,1012.7
9,北京,1013.4
9,台湾,1000.4
9,吉林,1014.4
9,四川,1011.2
9,天津,1013.6
9,宁夏,1012.8
9,安徽,1013.1
9,山东,1014.2
9,山西,1015.3
9,广东,1008.9
9,广西,1009.2
9,新疆,1011.5
9,江苏,1013.1
9,江西,1010.8
9,河北,1014.0
9,河南,1013.5
9,浙江,1011.2
9,海南,1007.9
9,湖北,1013.2
9,湖南,1011.8
9,澳门,1008.8
9,甘肃,1013.3
9,福建,1009.6
9,西藏,1005.8
9,贵州,1011.5
9,辽宁,1013.9
9,重庆,1012.1
9,陕西,1014.6
9,青海,1011.5
9,香港,1008.8
9,黑龙江,1012.0
10,上海,1022.3
10,云南,1014.6
10,内蒙古,1022.6
10,北京,1023.7
10,吉林,1023.5
10,四川,1016.1
10,天津,1023.9
10,宁夏,1022.9
10,安徽,1022.6
10,山东,1024.1
10,山西,1024.6
10,广东,1015.3
10,广西,1016.0
10,新疆,1023.6
10,江苏,1023.3
10,江西,1019.4
10,河北,1024.0
10,河南,1023.3
10,浙江,1021.1
10,海南,1013.2
10,湖北,1022.2
10,湖南,1020.8
10,澳门,1014.6
10,甘肃,1023.1
10,福建,1017.7
10,西藏,1010.9
10,贵州,1018.8
10,辽宁,1023.4
10,重庆,1019.7
10,陕西,1023.5
10,青海,1016.8
10,香港,1014.5
10,黑龙江,1020.7
11,上海,1020.9
11,云南,1014.9
11,内蒙古,1021.8
11,北京,1021.6
11,吉林,1022.0
11,四川,1016.4
11,天津,1021.8
11,宁夏,1022.4
11,安徽,1020.7
11,山东,1021.9
11,山西,1022.5
11,广东,1015.7
11,广西,1015.2
11,新疆,1024.0
11,江苏,1021.4
11,江西,1018.8
11,河北,1022.0
11,河南,1021.2
11,浙江,1020.3
11,海南,1013.4
11,湖北,1020.6
11,湖南,1019.2
11,澳门,1015.1
11,甘肃,1021.9
11,福建,1018.0
11,西藏,1016.3
11,贵州,1016.1
11,辽宁,1021.6
11,重庆,1017.7
11,陕西,1021.9
11,青海,1020.6
11,香港,1014.9
11,黑龙江,1018.1
12,上海,1027.8
12,云南,1017.7
12,内蒙古,1029.1
12,北京,1024.5
12,吉林,1015.4
12,四川,1022.9
12,天津,1026.0
12,宁夏,1030.3
12,安徽,1028.6
12,山东,1028.0
12,山西,1029.5
12,广东,1021.9
12,广西,1022.6
12,新疆,1036.3
12,江苏,1028.5
12,江西,1027.0
12,河北,1025.7
12,河南,1028.8
12,浙江,1026.9
12,海南,1018.6
12,湖北,1028.7
12,湖南,1028.1
12,澳门,1020.7
12,甘肃,1027.6
12,福建,1024.1
12,西藏,1014.4
12,贵州,1025.2
12,辽宁,1022.6
12,重庆,1026.7
12,陕西,1029.4
12,青海,1003.1
12,香港,1020.4
12,黑龙江,1006.4
