month,city,temp
6,丰宁,19.8
7,丰宁,23.3
8,丰宁,22.2
9,丰宁,17.9
10,丰宁,8
11,丰宁,2.8
1,临江,-8.2
2,临江,-2.2
3,临江,1.2
4,临江,10.4
5,临江,13.4
6,临江,18.5
7,临江,22.9
8,临江,19.8
9,临江,15.4
10,临江,6
11,临江,0.9
12,临江,-7.5
1,临沧,11
2,临沧,12.2
3,临沧,18
4,临沧,17.7
5,临沧,19.2
6,临沧,20.5
7,临沧,21.8
8,临沧,21.8
9,临沧,20.4
10,临沧,18.7
11,临沧,15.2
12,临沧,11.9
1,临河,-3
2,临河,-4
3,临河,7
4,临河,10.9
5,临河,16.8
6,临河,21.9
7,临河,23.3
8,临河,21.3
9,临河,17.4
10,临河,8.3
11,临河,2.9
1,丹东,-3
2,丹东,-0.6
3,丹东,4.6
4,丹东,11
5,丹东,15.2
6,丹东,20.2
7,丹东,24.7
8,丹东,23.1
9,丹东,19.1
10,丹东,10.8
11,丹东,6.7
12,丹东,-3.6
1,丽水,8.7
2,丽水,6.8
3,丽水,16.1
4,丽水,18.6
5,丽水,20.2
6,丽水,25.8
7,丽水,31.8
8,丽水,31.6
9,丽水,26.5
10,丽水,20.2
11,丽水,17.4
12,丽水,7.2
1,丽江,6.6
2,丽江,6.2
3,丽江,13.9
4,丽江,13.2
5,丽江,15.2
6,丽江,16.5
7,丽江,18.1
8,丽江,18.9
9,丽江,16.9
10,丽江,14
11,丽江,10.3
12,丽江,7.9
1,乌拉特中旗,-3.7
2,乌拉特中旗,-4.2
3,乌拉特中旗,4.7
4,乌拉特中旗,8.5
5,乌拉特中旗,16
6,乌拉特中旗,20.1
7,乌拉特中旗,22.7
8,乌拉特中旗,20.5
9,乌拉特中旗,16.5
10,乌拉特中旗,7.2
11,乌拉特中旗,1.3
3,乌鞘岭,-1.5
4,乌鞘岭,0.8
5,乌鞘岭,7.1
6,乌鞘岭,11.1
7,乌鞘岭,12.5
8,乌鞘岭,12
9,乌鞘岭,8.7
10,乌鞘岭,2
11,乌鞘岭,-1.2
1,乐亭,-1.6
2,乐亭,0.1
3,乐亭,6.2
4,乐亭,14.1
5,乐亭,19
6,乐亭,22.5
7,乐亭,26.5
8,乐亭,25.8
9,乐亭,22.5
10,乐亭,13.5
11,乐亭,8.5
12,乐亭,-0.5
1,九仙山,6.3
2,九仙山,5.1
3,九仙山,12.1
4,九仙山,12.5
5,九仙山,14.1
6,九仙山,17.8
7,九仙山,21.2
8,九仙山,20.4
9,九仙山,17.7
10,九仙山,13.1
11,九仙山,12.8
12,九仙山,5.5
1,九龙,2
2,九龙,0.3
3,九龙,6.7
4,九龙,7.5
5,九龙,10.8
6,九龙,12.7
7,九龙,14.3
8,九龙,15.9
9,九龙,12.8
10,九龙,11.4
11,九龙,5.8
12,九龙,2.4
2,二连浩特,-3.6
3,二连浩特,1.1
4,二连浩特,7.9
5,二连浩特,16.3
6,二连浩特,19.1
7,二连浩特,24
8,二连浩特,20.1
9,二连浩特,17.7
10,二连浩特,8.4
11,二连浩特,0.6
1,五台山,-8.6
2,五台山,-6.5
3,五台山,-0.4
4,五台山,6
5,五台山,8.9
6,五台山,14
7,五台山,15.5
8,五台山,14.5
9,五台山,11.3
10,五台山,4.4
11,五台山,0.3
12,五台山,
4,五道梁,-2.9
5,五道梁,0.3
6,五道梁,3.7
7,五道梁,6.6
8,五道梁,7.2
9,五道梁,2.1
10,五道梁,-1.1
11,五道梁,
1,亳州,2.8
2,亳州,4.5
3,亳州,12.4
4,亳州,18.3
5,亳州,21.9
6,亳州,29.2
7,亳州,28.7
8,亳州,28.6
9,亳州,24.1
10,亳州,16.4
11,亳州,13.1
12,亳州,2.8
1,介休,-1.2
2,介休,0.1
3,介休,9.6
4,介休,15.9
5,介休,18.6
6,介休,24.2
7,介休,23.8
8,介休,23.2
9,介休,19.5
10,介休,11.5
11,介休,8
12,介休,-0.8
2,伊春,-5.1
3,伊春,-0.1
4,伊春,4.8
5,伊春,11
6,伊春,17.5
7,伊春,22.5
8,伊春,18.2
9,伊春,14.1
10,伊春,3.2
11,伊春,-1.9
12,伊春,-6
1,会泽,6.4
2,会泽,5.2
3,会泽,13.5
4,会泽,12.3
5,会泽,13.7
6,会泽,16.7
7,会泽,19.8
8,会泽,19.7
9,会泽,16.2
10,会泽,13.8
11,会泽,12
12,会泽,4.3
1,会理,10.8
2,会理,10.3
3,会理,17.8
4,会理,15.6
5,会理,17.3
6,会理,19.2
7,会理,21.4
8,会理,21.9
9,会理,19.2
10,会理,17.5
11,会理,14.7
12,会理,9.7
1,佛冈,14.1
2,佛冈,10.7
3,佛冈,20.4
4,佛冈,21.6
5,佛冈,23.4
6,佛冈,27
7,佛冈,29.6
8,佛冈,28.3
9,佛冈,28.2
10,佛冈,24.4
11,佛冈,21.1
12,佛冈,12.4
1,保定,-1.5
2,保定,1.4
3,保定,7.9
4,保定,15.6
5,保定,19.3
6,保定,25.1
7,保定,26.8
8,保定,25.4
9,保定,21.8
10,保定,12.9
11,保定,8.2
12,保定,-1.5
1,保山,9.5
2,保山,9.6
3,保山,16.2
4,保山,17
5,保山,18.9
6,保山,20.9
7,保山,21.8
8,保山,22
9,保山,21
10,保山,18.9
11,保山,13.7
12,保山,10.5
1,信宜,16.8
2,信宜,13.3
3,信宜,22.3
4,信宜,23
5,信宜,24.8
6,信宜,27.4
7,信宜,29
8,信宜,27.9
9,信宜,27.7
10,信宜,24.8
11,信宜,23.3
12,信宜,14.7
1,信阳,3.4
2,信阳,5.2
3,信阳,13.6
4,信阳,19
5,信阳,21.3
6,信阳,28.4
7,信阳,29.2
8,信阳,29.5
9,信阳,24.8
10,信阳,17.1
11,信阳,13.8
12,信阳,4.3
1,修水,6.5
2,修水,5.1
3,修水,14.9
4,修水,18.6
5,修水,20.7
6,修水,26.3
7,修水,30
8,修水,31.4
9,修水,26.7
10,修水,19.6
11,修水,16.8
12,修水,5.8
1,儋州,20.4
2,儋州,17.5
3,儋州,24.4
4,儋州,24.7
5,儋州,25.7
6,儋州,29.5
7,儋州,28.9
8,儋州,27.7
9,儋州,27.4
10,儋州,24.3
11,儋州,24.4
12,儋州,17.2
1,元江,17.9
2,元江,17.1
3,元江,24.1
4,元江,24.1
5,元江,25.4
6,元江,27.2
7,元江,29.1
8,元江,28.3
9,元江,27.4
10,元江,24.7
11,元江,24.1
12,元江,17.5
3,克山,-0.7
4,克山,5.3
5,克山,12.2
6,克山,20.1
7,克山,23.5
8,克山,19
9,克山,14.8
10,克山,4.4
11,克山,-1.5
12,克山,-8.1
1,克拉玛依,-7
2,克拉玛依,-5.5
3,克拉玛依,4.8
4,克拉玛依,16.4
5,克拉玛依,24.2
6,克拉玛依,26.8
7,克拉玛依,27.1
8,克拉玛依,25.4
9,克拉玛依,21.3
10,克拉玛依,10.1
11,克拉玛依,2.8
1,兖州,1.7
2,兖州,3.4
3,兖州,11.3
4,兖州,17.6
5,兖州,21.7
6,兖州,27.6
7,兖州,27.4
8,兖州,27.7
9,兖州,22.8
10,兖州,14.6
11,兖州,11.6
12,兖州,0.5
1,兴仁,7.8
2,兴仁,5.3
3,兴仁,16.2
4,兴仁,16.1
5,兴仁,17.6
6,兴仁,21.3
7,兴仁,23.6
8,兴仁,23.7
9,兴仁,20.2
10,兴仁,16.3
11,兴仁,16.3
12,兴仁,5.9
3,冷湖,3
4,冷湖,6.8
5,冷湖,11.9
6,冷湖,14.7
7,冷湖,15.8
8,冷湖,14.6
9,冷湖,11.1
10,冷湖,6.9
11,冷湖,-2.8
1,凤翔,0.8
2,凤翔,1.2
3,凤翔,11.1
4,凤翔,14.6
5,凤翔,18.6
6,凤翔,23.8
7,凤翔,24.1
8,凤翔,23.9
9,凤翔,19.3
10,凤翔,12.1
11,凤翔,7.9
12,凤翔,0.4
2,前郭,-1.1
3,前郭,0.7
4,前郭,8.5
5,前郭,15.4
6,前郭,20.3
7,前郭,24.8
8,前郭,21.3
9,前郭,17.3
10,前郭,6.8
11,前郭,-0.5
1,勐腊,17.8
2,勐腊,17.6
3,勐腊,23.6
4,勐腊,23.5
5,勐腊,24.5
6,勐腊,25.5
7,勐腊,26.2
8,勐腊,25.6
9,勐腊,24.9
10,勐腊,23.1
11,勐腊,21.4
12,勐腊,18.5
1,化德,-7.1
2,化德,-6.1
3,化德,1.4
4,化德,6.4
5,化德,13.4
6,化德,15.9
7,化德,20.1
8,化德,18.6
9,化德,15.8
10,化德,6.3
11,化德,0
1,北京,-2.3
2,北京,0.3
3,北京,6.7
4,北京,15.7
5,北京,20.7
6,北京,25.1
7,北京,27.2
8,北京,25.7
9,北京,22.1
10,北京,12.3
11,北京,7.3
12,北京,-0.5
1,北海,16.2
2,北海,12.4
3,北海,21.8
4,北海,22.8
5,北海,25.4
6,北海,28.8
7,北海,29.9
8,北海,28.5
9,北海,28.4
10,北海,24.7
11,北海,23.3
12,北海,14.4
1,华家岭,-5.9
2,华家岭,-5.7
3,华家岭,4.4
4,华家岭,6
5,华家岭,10.3
6,华家岭,15.5
7,华家岭,16.2
8,华家岭,14.9
9,华家岭,11.4
10,华家岭,5.3
11,华家岭,1.8
12,华家岭,-5.1
1,华山,-4.1
2,华山,-3.6
3,华山,6.4
4,华山,9.1
5,华山,13
6,华山,18.2
7,华山,18.5
8,华山,18.9
9,华山,13.4
10,华山,7.8
11,华山,4.9
12,华山,-2.2
1,南京,4.8
2,南京,4.6
3,南京,13.5
4,南京,17.6
5,南京,21.4
6,南京,27.7
7,南京,30.5
8,南京,31
9,南京,23.6
10,南京,17.1
11,南京,14.1
12,南京,4
1,南城,7.9
2,南城,6.1
3,南城,16.3
4,南城,19.1
5,南城,21.1
6,南城,26.8
7,南城,31.7
8,南城,32
9,南城,27.2
10,南城,20.9
11,南城,17.7
12,南城,6.6
1,南宁,13.4
2,南宁,10.4
3,南宁,20.9
4,南宁,22.2
5,南宁,23.9
6,南宁,27.9
7,南宁,29.3
8,南宁,28.6
9,南宁,28
10,南宁,24.2
11,南宁,22.2
12,南宁,13.4
1,南岳,1.4
2,南岳,-1.6
3,南岳,10.8
4,南岳,12.7
5,南岳,14.9
6,南岳,20.4
7,南岳,23.4
8,南岳,23.5
9,南岳,20
10,南岳,13.2
11,南岳,10.7
12,南岳,0.2
1,南昌,7.2
2,南昌,6
3,南昌,15.9
4,南昌,19.4
5,南昌,21.4
6,南昌,26.7
7,南昌,31.9
8,南昌,32.8
9,南昌,28
10,南昌,20.5
11,南昌,17.7
12,南昌,7
1,南阳,2.3
2,南阳,3.9
3,南阳,12.5
4,南阳,17.8
5,南阳,20.7
6,南阳,28.3
7,南阳,27.6
8,南阳,27.8
9,南阳,23.7
10,南阳,16.2
11,南阳,12.2
12,南阳,2.9
1,原平,-1.7
2,原平,-4.1
3,原平,7.2
4,原平,14.1
5,原平,17.8
6,原平,23.1
7,原平,23.8
8,原平,22.5
9,原平,19
10,原平,10.7
11,原平,6.8
1,厦门,15.2
2,厦门,13.2
3,厦门,18.7
4,厦门,21.3
5,厦门,22.3
6,厦门,27.1
7,厦门,29.9
8,厦门,30
9,厦门,28.6
10,厦门,24.7
11,厦门,22.1
12,厦门,15.1
1,台中市,15.8
2,台中市,14.6
3,台中市,19.2
4,台中市,21.5
5,台中市,22.8
6,台中市,26.9
7,台中市,28.4
8,台中市,28.1
9,台中市,26
10,台中市,23.5
11,台中市,22.3
12,台中市,15.6
1,台南,17.8
2,台南,16.6
3,台南,21.6
4,台南,23.6
5,台南,25.2
6,台南,28.1
7,台南,28.7
8,台南,28.2
9,台南,27.7
10,台南,25.7
11,台南,24.6
12,台南,18.4
1,合作,-3.4
2,合作,-4.2
3,合作,1.1
4,合作,3.3
5,合作,7.8
6,合作,10.7
7,合作,13.2
8,合作,14.5
9,合作,8.5
10,合作,5.1
11,合作,-0.5
1,合肥,5.5
2,合肥,5.2
3,合肥,13.2
4,合肥,17.3
5,合肥,20.7
6,合肥,26.9
7,合肥,29.9
8,合肥,30.2
9,合肥,24.2
10,合肥,18
11,合肥,15
12,合肥,5.2
2,吐鲁番,2.2
3,吐鲁番,14.8
4,吐鲁番,23.6
5,吐鲁番,30.2
6,吐鲁番,32.5
7,吐鲁番,32.4
8,吐鲁番,30.5
9,吐鲁番,29
10,吐鲁番,16.4
11,吐鲁番,8.1
1,吕泗,5.3
2,吕泗,4.9
3,吕泗,11.3
4,吕泗,15.4
5,吕泗,19.4
6,吕泗,25.4
7,吕泗,29.2
8,吕泗,29.6
9,吕泗,23.4
10,吕泗,18.2
11,吕泗,15.2
12,吕泗,5.8
1,呼和浩特,-3.3
2,呼和浩特,-5.2
3,呼和浩特,6.1
4,呼和浩特,11.5
5,呼和浩特,16.8
6,呼和浩特,22
7,呼和浩特,23
8,呼和浩特,21.1
9,呼和浩特,16.3
10,呼和浩特,8.5
11,呼和浩特,1.8
12,呼和浩特,-4.7
2,呼玛,-4.8
3,呼玛,-0.8
4,呼玛,2.1
5,呼玛,10.3
6,呼玛,18.8
7,呼玛,22.2
8,呼玛,17
9,呼玛,10.8
10,呼玛,2.5
11,呼玛,-2.8
1,和布克赛尔,-3.7
3,和布克赛尔,-1.2
4,和布克赛尔,8.5
5,和布克赛尔,17.4
6,和布克赛尔,19.6
7,和布克赛尔,19.3
8,和布克赛尔,17.6
9,和布克赛尔,15.1
10,和布克赛尔,4
11,和布克赛尔,-1.4
12,和布克赛尔,-5.4
2,和田,-1.4
3,和田,14.4
4,和田,19.6
5,和田,22.2
6,和田,23.6
7,和田,24
8,和田,22.5
9,和田,22.8
10,和田,13.9
11,和田,8.5
2,哈密,-2.4
3,哈密,9.3
4,哈密,16.4
5,哈密,24.5
6,哈密,25.8
7,哈密,26.3
8,哈密,25
9,哈密,21.6
10,哈密,10.1
11,哈密,3.6
12,哈密,-5.4
2,哈尔滨,-2.8
3,哈尔滨,0.7
4,哈尔滨,7.8
5,哈尔滨,14.2
6,哈尔滨,20.4
7,哈尔滨,24.9
8,哈尔滨,20.7
9,哈尔滨,16.7
10,哈尔滨,6.4
11,哈尔滨,0.3
12,哈尔滨,-3.6
1,哈巴河,-3.4
2,哈巴河,-4.7
3,哈巴河,0
4,哈巴河,10.9
5,哈巴河,19.8
6,哈巴河,22.6
7,哈巴河,21.9
8,哈巴河,20.2
9,哈巴河,16.9
10,哈巴河,7.5
11,哈巴河,2.7
1,唐山,-1.2
2,唐山,0.1
3,唐山,6.2
4,唐山,15.3
5,唐山,19.9
6,唐山,23.4
7,唐山,26.8
8,唐山,25.2
9,唐山,22
10,唐山,12.8
11,唐山,7.9
12,唐山,-1
2,喀什,-0.3
3,喀什,12.5
4,喀什,19.3
5,喀什,21.4
6,喀什,25.5
7,喀什,28.8
8,喀什,22.8
9,喀什,22.9
10,喀什,14.2
11,喀什,7.4
1,四平,-3.3
2,四平,-1.1
3,四平,2.6
4,四平,10.8
5,四平,16.4
6,四平,20.4
7,四平,24.5
8,四平,21.5
9,四平,17.9
10,四平,8
11,四平,1.8
12,四平,-4.6
2,围场,-1.3
3,围场,2.1
4,围场,8
5,围场,13.2
6,围场,17.3
7,围场,21.7
8,围场,20.2
9,围场,16.1
10,围场,6.6
11,围场,1.1
1,固始,3.9
2,固始,4.6
3,固始,13.7
4,固始,18.7
5,固始,21.5
6,固始,28
7,固始,29.1
8,固始,29.6
9,固始,23.9
10,固始,16.8
11,固始,13.6
12,固始,3.2
3,图里河,-2
4,图里河,1.4
5,图里河,7.4
6,图里河,14.1
7,图里河,18.6
8,图里河,12.7
9,图里河,8.6
10,图里河,1.2
11,图里河,-3.6
3,塔中,11.8
4,塔中,18
5,塔中,22.9
6,塔中,24.4
7,塔中,25.7
8,塔中,24.5
9,塔中,21.5
10,塔中,10
11,塔中,7.9
1,塔城,-1.7
2,塔城,-3
3,塔城,2.5
4,塔城,13.2
5,塔城,20.2
6,塔城,23.3
7,塔城,23.4
8,塔城,21.7
9,塔城,18.1
10,塔城,8.5
11,塔城,2.2
12,塔城,-6.5
1,多伦县,-5.5
2,多伦县,-3.5
3,多伦县,0.9
4,多伦县,6.4
5,多伦县,11.4
6,多伦县,16.2
7,多伦县,20.2
8,多伦县,18.3
9,多伦县,14.6
10,多伦县,6.5
11,多伦县,1
1,大同,-4
2,大同,-3.6
3,大同,4.6
4,大同,9.8
5,大同,14.9
6,大同,19.6
7,大同,22.5
8,大同,20.5
9,大同,16
10,大同,8.1
11,大同,2.6
1,大理,9
2,大理,9.9
3,大理,15.4
4,大理,15.8
5,大理,17
6,大理,18.8
7,大理,20.6
8,大理,20.9
9,大理,19.1
10,大理,16.5
11,大理,12.4
12,大理,9.7
1,大连,-0.5
2,大连,2.1
3,大连,5.7
4,大连,13.1
5,大连,18
6,大连,20.8
7,大连,25.4
8,大连,24.9
9,大连,21.1
10,大连,12.9
11,大连,9.3
12,大连,0.8
1,大陈,8.8
2,大陈,7.5
3,大陈,13.2
4,大陈,16.1
5,大陈,18.3
6,大陈,23
7,大陈,27.2
8,大陈,28.4
9,大陈,24.7
10,大陈,20.2
11,大陈,17.6
12,大陈,9.3
1,天津,-1.3
2,天津,1.7
3,天津,7.4
4,天津,16.5
5,天津,21.9
6,天津,25.7
7,天津,27.7
8,天津,26.4
9,天津,23.5
10,天津,14.2
11,天津,9.1
12,天津,-1.3
1,太原,-1.6
2,太原,1.6
3,太原,7.9
4,太原,14.5
5,太原,18
6,太原,25.1
7,太原,24.1
8,太原,23.6
9,太原,18.6
10,太原,10.7
11,太原,6.9
12,太原,-3.1
1,奉节,8.3
2,奉节,8.4
3,奉节,16.1
4,奉节,19.2
5,奉节,22.1
6,奉节,26.4
7,奉节,28.3
8,奉节,31.6
9,奉节,24.4
10,奉节,20
11,奉节,16.5
12,奉节,9
1,威宁,3.9
2,威宁,1.7
3,威宁,11.4
4,威宁,10.8
5,威宁,12.7
6,威宁,16
7,威宁,19
8,威宁,19.6
9,威宁,14.9
10,威宁,11.5
11,威宁,11.1
12,威宁,1.1
3,嫩江,-0.8
4,嫩江,4.9
5,嫩江,11.2
6,嫩江,19.7
7,嫩江,23.2
8,嫩江,18.3
9,嫩江,13.3
10,嫩江,3
11,嫩江,-1.8
2,孙吴,-7.3
3,孙吴,-0.5
4,孙吴,4.4
5,孙吴,11.1
6,孙吴,19.2
7,孙吴,23.1
8,孙吴,19
9,孙吴,13.5
10,孙吴,3.8
11,孙吴,-1.8
1,孟津,0.9
2,孟津,3.6
3,孟津,11.8
4,孟津,17.8
5,孟津,21.2
6,孟津,27.4
7,孟津,26.2
8,孟津,25.6
9,孟津,23.2
10,孟津,14.8
11,孟津,10.9
12,孟津,3.2
1,安康,5
2,安康,6
3,安康,14.2
4,安康,18.2
5,安康,21
6,安康,26.1
7,安康,27.1
8,安康,29.1
9,安康,22.3
10,安康,15.9
11,安康,12.6
12,安康,4.8
2,安达,-2.5
3,安达,0.5
4,安达,7.5
5,安达,14.3
6,安达,20.7
7,安达,24.9
8,安达,21.2
9,安达,16.4
10,安达,5.9
11,安达,0
1,安阳,0.3
2,安阳,3.7
3,安阳,10.4
4,安阳,17.4
5,安阳,21.5
6,安阳,27
7,安阳,25.8
8,安阳,25.5
9,安阳,23.2
10,安阳,14.6
11,安阳,10.4
12,安阳,0.5
2,定日,
3,定日,2.3
4,定日,3.4
5,定日,4.7
6,定日,8.6
7,定日,9.6
8,定日,9.1
9,定日,8.7
10,定日,8.1
1,定海,7.7
2,定海,6.5
3,定海,12.9
4,定海,16.3
5,定海,19
6,定海,24.3
7,定海,29.4
8,定海,29.8
9,定海,24.3
10,定海,19.4
11,定海,16.7
12,定海,7.8
1,定陶,1.3
2,定陶,3.9
3,定陶,11.1
4,定陶,16.9
5,定陶,20.8
6,定陶,28.3
7,定陶,27.2
8,定陶,27.3
9,定陶,22.8
10,定陶,15.1
11,定陶,11.7
12,定陶,0.9
1,宜宾,8.3
2,宜宾,7.8
3,宜宾,17.8
4,宜宾,18.4
5,宜宾,20.6
6,宜宾,24.1
7,宜宾,26.8
8,宜宾,27.8
9,宜宾,22.2
10,宜宾,18.5
11,宜宾,16.1
12,宜宾,7.5
1,宜昌,4.7
2,宜昌,5.2
3,宜昌,13.9
4,宜昌,18.2
5,宜昌,20.5
6,宜昌,25.7
7,宜昌,27.5
8,宜昌,29.4
9,宜昌,24.3
10,宜昌,17.7
11,宜昌,14.6
12,宜昌,6.2
1,宜春,7.2
2,宜春,5.6
3,宜春,15.8
4,宜春,18.9
5,宜春,21
6,宜春,26.7
7,宜春,30.4
8,宜春,31.5
9,宜春,27.6
10,宜春,20.6
11,宜春,17.6
12,宜春,7.3
2,宝国吐,-1.8
3,宝国吐,3
4,宝国吐,11.3
5,宝国吐,17.2
6,宝国吐,19
7,宝国吐,23.6
8,宝国吐,21.9
9,宝国吐,18.2
10,宝国吐,8
11,宝国吐,2.5
1,宝山,6.3
2,宝山,5.7
3,宝山,13
4,宝山,17
5,宝山,20.4
6,宝山,26.7
7,宝山,31
8,宝山,31
9,宝山,24.2
10,宝山,18.8
11,宝山,15.9
12,宝山,6.3
2,宝清,-2.1
3,宝清,0.7
4,宝清,7.2
5,宝清,14.6
6,宝清,19.9
7,宝清,23.6
8,宝清,20.4
9,宝清,16.3
10,宝清,6.4
11,宝清,0
12,宝清,-7.4
1,宽甸,-4.1
2,宽甸,-0.5
3,宽甸,3.3
4,宽甸,11.1
5,宽甸,14.9
6,宽甸,19.7
7,宽甸,24.2
8,宽甸,22
9,宽甸,17.7
10,宽甸,8.6
11,宽甸,4.7
12,宽甸,-4.5
1,富蕴,-4.8
2,富蕴,-3.6
3,富蕴,-0.6
4,富蕴,10.4
5,富蕴,19.9
6,富蕴,22.3
7,富蕴,22.2
8,富蕴,21
9,富蕴,16.8
10,富蕴,5.4
11,富蕴,0.3
2,富锦,-2.4
3,富锦,-1.1
4,富锦,5.6
5,富锦,13.4
6,富锦,19.6
7,富锦,23.6
8,富锦,20.4
9,富锦,14.6
10,富锦,5.6
11,富锦,-0.9
12,富锦,-3.6
1,寻乌,11.9
2,寻乌,8.6
3,寻乌,18.7
4,寻乌,19.9
5,寻乌,22
6,寻乌,25.7
7,寻乌,28.7
8,寻乌,28
9,寻乌,26.5
10,寻乌,22.7
11,寻乌,19.5
12,寻乌,9.1
1,射阳,2.9
2,射阳,3
3,射阳,9.4
4,射阳,14.2
5,射阳,18.8
6,射阳,25.1
7,射阳,28.2
8,射阳,28.2
9,射阳,22
10,射阳,15.5
11,射阳,12.8
12,射阳,3.1
3,小二沟,-0.5
4,小二沟,3.8
5,小二沟,11.2
6,小二沟,19
7,小二沟,22.8
8,小二沟,17.3
9,小二沟,12.7
10,小二沟,2.2
11,小二沟,-1.1
12,小二沟,
2,尚志,-1.4
3,尚志,0.7
4,尚志,8
5,尚志,14
6,尚志,19.9
7,尚志,24.6
8,尚志,20.4
9,尚志,16.2
10,尚志,6
11,尚志,-0.9
12,尚志,-3.2
1,岳阳,6
2,岳阳,6
3,岳阳,15.2
4,岳阳,19.7
5,岳阳,21.5
6,岳阳,27.9
7,岳阳,31.1
8,岳阳,32.2
9,岳阳,26.5
10,岳阳,19.1
11,岳阳,16.3
12,岳阳,6.7
1,峨眉山,-4.2
2,峨眉山,-5.5
3,峨眉山,3.7
4,峨眉山,3.7
5,峨眉山,6.2
6,峨眉山,10.4
7,峨眉山,13.9
8,峨眉山,13.9
9,峨眉山,8.5
10,峨眉山,4.5
11,峨眉山,2.9
12,峨眉山,-4.8
1,崆峒,-2.7
2,崆峒,-1.9
3,崆峒,8.7
4,崆峒,11.6
5,崆峒,15.7
6,崆峒,20.1
7,崆峒,21
8,崆峒,19.8
9,崆峒,15.7
10,崆峒,9.5
11,崆峒,5.5
12,崆峒,0.1
1,嵊州,6.5
2,嵊州,5.5
3,嵊州,14.4
4,嵊州,17.9
5,嵊州,19.9
6,嵊州,26
7,嵊州,31.2
8,嵊州,30.8
9,嵊州,24.2
10,嵊州,18.2
11,嵊州,16.3
12,嵊州,5.9
1,嵊泗,7.5
2,嵊泗,6.3
3,嵊泗,12.1
4,嵊泗,15.5
5,嵊泗,18.4
6,嵊泗,23.2
7,嵊泗,28.4
8,嵊泗,28.5
9,嵊泗,23.9
10,嵊泗,19.4
11,嵊泗,16.9
12,嵊泗,8.2
1,巴塘,4.6
2,巴塘,5.2
3,巴塘,10.2
4,巴塘,11.5
5,巴塘,14.4
6,巴塘,15
7,巴塘,16.8
8,巴塘,17.3
9,巴塘,14.9
10,巴塘,13.5
11,巴塘,9.2
12,巴塘,7.2
2,巴林左旗,-0.6
3,巴林左旗,2.7
4,巴林左旗,9.7
5,巴林左旗,15.2
6,巴林左旗,19.3
7,巴林左旗,23
8,巴林左旗,20.3
9,巴林左旗,18.4
10,巴林左旗,7.4
11,巴林左旗,0.1
1,巴音布鲁克,-7.5
3,巴音布鲁克,-2.1
4,巴音布鲁克,3.8
5,巴音布鲁克,9.3
6,巴音布鲁克,11.4
7,巴音布鲁克,12.1
8,巴音布鲁克,10.6
9,巴音布鲁克,7.8
10,巴音布鲁克,0.7
