province,month,temp,temp_forecast
香港,6,28.5,31.35
香港,7,30.2,33.22
香港,8,28.6,31.46
香港,9,29.2,32.12
香港,10,25.8,28.38
香港,11,23,25.3
香港,12,15.5,17.05
黑龙江,2,-2.4,-2.64
黑龙江,3,0.1,0.11
黑龙江,4,6.3,6.93
黑龙江,5,12.7,13.97
黑龙江,6,19.1,21.01
黑龙江,7,23.2,25.52
黑龙江,8,19.4,21.34
黑龙江,9,14.6,16.06
黑龙江,10,4.9,5.39
黑龙江,11,-0.8,-0.88
黑龙江,12,-5.4,-5.94
